n_estimators,max_depth,min_samples_split,mean_test_score
150,16,12,0.7158959540632709
175,16,10,0.7147385473208664
175,16,8,0.7146918075289822
150,16,10,0.7146709210170935
150,16,8,0.7145783520447765
125,16,12,0.714088599700098
125,16,10,0.7140432443768573
100,16,12,0.7140150960641606
150,14,12,0.7136581202247041
175,16,12,0.7136300035365896
175,14,12,0.7133530254010383
100,16,10,0.7131871697608524
125,16,8,0.7130099522472415
100,14,10,0.7127870084185202
100,14,12,0.7126314232747015
125,14,10,0.7124089305624731
100,16,8,0.7122899975373217
175,14,10,0.7120366718121267
125,14,12,0.7113308663673928
175,14,8,0.7112625779723277
150,14,8,0.7111205228516635
150,14,10,0.7111173199863151
100,14,8,0.7100925105287014
125,14,8,0.7090081390896651
175,12,12,0.7072690280935463
125,12,8,0.7062234535764027
150,12,12,0.7058986010282187
125,12,10,0.7058005128034956
150,12,10,0.7055070457876614
125,12,12,0.7054714470888945
175,12,10,0.7053855719998595
100,12,12,0.7051889433272981
150,12,8,0.7048697746357925
100,12,10,0.7047423774120524
100,12,8,0.7046869796892089
175,10,12,0.7037788999864892
175,12,8,0.7032733353440425
100,10,12,0.7027864062949515
150,10,10,0.7027836145730895
100,10,8,0.7021848502476963
100,10,10,0.7011070029639493
150,10,8,0.7010828239983639
175,10,8,0.7006582354092838
150,10,12,0.7006435400416527
125,10,10,0.7002363956278065
125,10,8,0.7001726396484496
175,10,10,0.699879677637342
125,10,12,0.6998274082778021
